"Name","Start Date & Time","End Date & Time","Presentation Type","Zoom Link"
"School Info Session","25-06-2025 11:00 AM","25-06-2025 11:45 AM","Information Session","https://example-org.zoom.us/j/63547123442"
"School Info Session","29-07-2025 10:00 AM","29-07-2025 10:45 AM","Information Session","https://example-org.zoom.us/j/90034057348"
"School Info Session","14-08-2025 02:00 PM","14-08-2025 02:45 PM","Information Session","https://example-org.zoom.us/j/84945086091"
"School Info Session","26-08-2025 11:00 AM","26-08-2025 11:45 AM","Information Session","https://example-org.zoom.us/j/56390041823"
"School Info Session","10-09-2025 11:00 AM","10-09-2025 11:45 AM","Information Session","https://example-org.zoom.us/j/75201548369"
"School Info Session","22-10-2025 02:00 PM","22-10-2025 02:45 PM","Information Session","https://example-org.zoom.us/j/94462248213"
"School Info Session","07-10-2025 11:00 AM","07-10-2025 11:45 AM","Information Session","https://example-org.zoom.us/j/45108442318"
"School Info Session","06-11-2025 10:00 AM","06-11-2025 10:45 AM","Information Session","https://example-org.zoom.us/j/82098307439"
"School Info Session","03-12-2025 02:00 PM","03-12-2025 02:45 PM","Information Session","https://example-org.zoom.us/j/59561696844"
"School Info Session","18-11-2025 11:00 AM","18-11-2025 11:45 AM","Information Session","https://example-org.zoom.us/j/86060464484"
